,title,price,source,product_link,thumbnail,rating,reviews
24,The Souled Store Men's DC: Batman Logo T-Shirt,₹899,Myntra,https://www.google.com/shopping/product/14568305266654555990?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTpd_TRKHIzBT0I6Ki5E3fCNPd0ai61mkYprLxvYIB9sA6Hn0jsWZdzrIAPRJJVWMF3HxxT__pT4rcqHqp10Lt10EBODjeu6Umcx4dmd3nV8Mf44VJUZMbY,4.1,18.0
25,Nobero Men's Printed Round Neck T-shirt,₹449,Amazon.in,https://www.google.com/shopping/product/11649699644575724244?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS6Xgo1pwuPixOAV8NWkZZyNtzlUnxix1V1xQJnRkISBE79W7EnhiLZU5qsJ88fwsu2ZXOQMxs_SMt53GOQMUAat8wDtJQPLMoBKw0kPr-opH6308ny4SlhkIE,4.2,6.0
26,Difference of Opinion Men's Striped Oversized T-Shirt,₹359,Myntra,https://www.google.com/shopping/product/5036002638697083690?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQtVuX0wwOL1-D-dSXse45Sj8BHejiS9XseKqqyAN7azfBMuPtw4AuqaylL9sI2k8ph5agdCRKHgdGdMnBScg_z_y8yek1Ufj0KAlItWsl1vD5R4ujkTHXHOA,4.0,3.0
27,The Souled Store Men's Official Deadpool Anti-Hero Oversized T-shirt,"₹1,299",Myntra,https://www.google.com/shopping/product/7490906300882313991?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS93ur6e42_4jIKbkI3nOWTp1RZyXDyWwNN_3gLi7loDHWPOZ2cfx909v_geKgzFddXe6m13p2J1zzqJX95cJs0CsF8aVJOJDqxCRSSdIQ7zJLjiAsWoV_S,3.0,2.0
28,THE BEAR HOUSE Men's Solid Casual Shirt,₹849,Tata CLiQ Fashion,https://www.google.com/shopping/product/14541279013398500964?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRwjzXxw337ul0gHrEEs5CbisJtOdgc3YqriEmPrIfd4oujWrQdSVGBnMMs9IrlTFQrgMZPx5ma4vdzMF4e6mmmoIcQw0IDLGdqZ1pxP3-uV0lDfYwPHp4xuQ,4.3,3.0
29,Levis Unisex Graphic Printed Oversized T-shirt,₹989,Myntra,https://www.google.com/shopping/product/12837936708713444826?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR8jMwFAn4MfyldxZRkYuj9Nqq1uCDbvIANKQ9JdmBLmjm5ZQ48YnAReNFVtVyLLrVQV-IgojoIuMednz1P641alVdbwb0hncz_6F15kVG8fooWpa7srIRk,3.7,3.0
30,Personalized Men's No Min. Qty Humorous T-Shirts,₹420,Vistaprint.in,https://www.google.com/shopping/product/14522947829281578835?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRH8LTkekGEN_NYRfy7Ne5rk4HzFqEyBBeD9SDMFKVPwOwF87rp7RKA76V2nWDCz461IKCPvfJQQkaTzBRydO6sZV5By2r8dPN1_JT-elQTetBjgcWsV8VUcQ,4.4,42.0
31,H&M Men's Loose Fit T-shirt,"₹1,499",H&M,https://www.google.com/shopping/product/1775034624007314899?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQSFg71nOApF1Ol7j2WwTbbw6fYm-GuXm9Om4DXkFQ1v5G6mOdPXmY41hIiFnUynB1CJDe4J9VDXYpVIgOrRY6NzrmtpvjzLwlLqretooJQJGGO6Ca2n3rA0w,4.0,1.0
32,Men's Personalized Retro & Vintage T-Shirts,₹420,Vistaprint.in,https://www.google.com/shopping/product/14370160867782338922?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTXq318tfuabLBe_PQ7snnrY24xvmwD4iPJcsdz_aLWGJjF3Ph5nslk8c4RUSzSqoZ9Ycl_xBf1oE7x3-2qFoEOSSM7eQFoXj6QJVmeFARawcacdOLBgGbf,4.4,42.0
33,Puma Men Slim Fit Polo T-Shirt,₹819,PUMA India,https://www.google.com/shopping/product/9584335340403731048?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQL62BdYow7E-3Gr1AZyDHDNNpsU361IPMRk50qvM_cVRAglFCZ0-0vXQxowzJK4pJJpR7gHFBbmy6pgpAWpXPsIHHOiOiiPGFeV0sS778zF2a3PZJXfG9x-Q,4.3,2600.0
34,The Bear House Men's Oversized Printed Round Neck T-shirt,"₹1,399",Tata CLiQ Fashion,https://www.google.com/shopping/product/192048758692551611?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSnGmW64zd-B0f2BjaV0SupiFBYDLs0DfLcHqNy_TmzXYFQBc2t4gtv-1r__nAMpfTmAaDqI4_Lyd4-B2Af0-JjAeSpbm4MdZvBSoEy72sERjn9l3INX9R3hw,4.6,21.0
35,Campus Sutra Men's Stripe-Knit Polo T-Shirt,₹569,Myntra,https://www.google.com/shopping/product/15109444176424815895?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-wnkaUHA707BSMD9KJTyxJ0ADLO7Ba5Ar_trIVVyDIFQyT6IkF9uOufwkk1WRyM-lFNZqLl_gRIt_apAl7RveDbwFBtqmhZxC1EjALlXPUjvcpDT4iHjP,3.4,18.0
36,U.S. Polo Assn. Men's Working Holiday T-Shirt,"₹1,899",Myntra,https://www.google.com/shopping/product/2982944970858588817?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRfgDPDp2ccCUnx68VLE4_24z7V43WYkoEeRI8WbmnlF2PLhKTKgPDMJCMPX6BzNizI1yOlcOwFwUW0a0vqLoFqeW5gp5V_ZXozRQZBI1UdyGexXqdeSD3IQw,5.0,1.0
37,Mufti Men's Graphic Print Cotton T-shirt,₹584,Myntra,https://www.google.com/shopping/product/6339152674438152415?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT111ecgd24qxhL2RlqTag6uTa61yeUliQ5OUBe0CYrV3w-gcHV2jV7Hfm9n5ToeiXev0eisMM,5.0,1.0
38,Jack & Jones Men's Checkered Slim Fit T-Shirt,₹521,Flipkart,https://www.google.com/shopping/product/1909703400621692297?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTAtizAYDVlmIEVZw14Hqx7-Yh9aovxKupg4HUDRMcDE1ceRlTVqiqlubppmN-mGzMJoRKHP1js,4.7,6.0
39,Mufti Printed Men Crew Neck,₹584,Myntra,https://www.google.com/shopping/product/7861148422575357117?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSMWNFYQgoERnEjFpbIg9SCqOWGWxDmv5CNkgKPIRrwyiUuDLoxAneSzD-7ahBIccWBvKik9NY6,5.0,2.0
40,Men Mufti Graphic Print Cotton T-shirt,₹735,Mufti Jeans,https://www.google.com/shopping/product/157442951245296412?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ535W3HnJ2JsVyeoKOSwf54SMPx0CLwoNpkhUlGY9nJOMgNKl3e2Q2Ba90Jor_IndVuICrNhqh,3.5,8.0
41,The Souled Store Men's Checkered Casual Shirt,"₹1,049",Myntra,https://www.google.com/shopping/product/1216151761952937494?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS4YoFPlPgeo29KoRG_AiQ2060aQvx_5oAWupBB4Q-3wt21ZW4omnDeiY3G1tmfF3pks-p4eTI,4.0,7.0
42,Levi's Men's Printed Crew Neck T-shirt,₹349,Myntra,https://www.google.com/shopping/product/14916850410110396521?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ6ZVtMprYTbsvunnM6kpZLOS4EFZof4SXpbKCnLuoLFPQpa86aCRKLPyu4t5-YeFpC5YsrgxlShg,4.3,20.0
43,H&M Men's LDN Loose Fit Printed T-shirt,"₹1,999",H&M,https://www.google.com/shopping/product/9274512173501423089?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQO9Q2TRK0omfVMjJ-CGeTlfSoNnheESuEJh7IBRYvuGgWFBZDQJzroehrL3x1-_UHd8Zzf5BDf6A,4.5,11.0
44,Jack & Jones Dark Blue Cotton Slim Fit Printed T-Shirt,₹944,Tata CLiQ Fashion,https://www.google.com/shopping/product/1?gl=in&prds=pid:4868410770087317482,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSAsau_f-X9AbSpK3nCc5MkCX4lHiUYMdial4NnJwjWKrQCkB0D7tXWLaRc8wTkWrTIQn2YEXs,3.8,13.0
45,H&M Men's LDN Loose Fit Printed T-shirt,"₹1,999",H&M,https://www.google.com/shopping/product/9274512173501423089?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR1OawqsXWpSN5N8k1rCnK7AsbFVlYQjhv_iYBHuK5MtR8FDGRS1j4pVEREwtcdAGgkZuIMO3zQjnQ1PzO_O31kZ8rq_mzOqCEkXMsruTEbTf3-zbWNAIpKbTs,4.5,11.0
46,The Souled Store Men's Tom & Jerry Stripped Oversized Full Sleeve T-Shirt,"₹1,299",Amazon.in,https://www.google.com/shopping/product/11669862742421424895?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTliXKoqoyOIyKabvY7rV6CAKmfHQBjIR8Oq9i-tuf4Z8-yrvAOxD-47nZ8ZQWpejLozSjNkUjh2PgXLcy0Y4JBjqJqW1GNxrbaT9hC-n87CwmeHNCjHm25,4.8,4.0
47,Jack & Jones Men's Checkered Slim Fit T-Shirt,₹630,AJIO.com,https://www.google.com/shopping/product/1129938869684515517?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSpjOmBMfD27qLNuaHfsxW90ft5Xxn7DCpsaIV0TErlYqfVYPzLpvcr9gdRobI-tRHnFlrww9_1znH7Yi3ZM68DmIV1BjolMcuW07exN8Za4lU_KjUvZVsR1Q,4.7,6.0
48,Levi's Men's Brand Logo Slim Fit T-Shirt,"₹1,279",Levi Strauss India,https://www.google.com/shopping/product/14293128973401873875?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSJGxA2n-_Bh9ZQEQbhIAZjhdetnFb0CMA7rWyXn6LqpNIKoOX7q4TZOyYPC5392PWnf9A6HjYitZQOzsvLFgrC5oA9UECVKrNnrmh89XD4FiGNiT848cUl,4.5,2.0
49,Rare Rabbit Men's Chael Graphic Print Regular Fit T-Shirt,"₹1,232",AJIO.com,https://www.google.com/shopping/product/7698367809689078806?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQY1Hp_jTecXCsQeRD-eZxDKmIqqcnbNmhS_dUpByxdeXDnIwaEDNAyWt_pM08vZWIWOR6FKcvZKCTlPzrrIYqmkuEvTZoU1BIWDDGy9WgcIf0J8eXBF07a7Q,5.0,1.0
50,The Souled Store Men's Harry Potter: Ministry of Magic Printed T-Shirt,₹849,Flipkart,https://www.google.com/shopping/product/4009208050173353589?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRGKI4d6locW23ffO6W_AIGDIuXzEv_rpS9mLWpl3oQOJyGnkH8B9CKjpNtc2EFDDuGnFmCxmtvFx3GQ7XKpwxmSFjBPzPQxHUrofNvU7dycm3BrsSrUQozmg,5.0,2.0
51,Levi's Men's Graphic Print Crew Neck T-Shirt,₹464,Myntra,https://www.google.com/shopping/product/13254223502998896570?gl=in,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSWHY_O4EdQTsCUXTw43TOupiKUKDDhNfkc_fqT70lPVRGsmnCqmj3z4g-vb7yOLBIA-6yuElA9oYUbeYNkb1Za9rqFicfULmIU6Yo2ykwb5Fg1zIqhIcOx3qA,4.5,8.0
